player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Karim Coulibaly,18,Germany,Werder Bremen,2025,2025,7,Bundesliga
Assan Ouédraogo,19,Germany,Leipzig,2024,2025,10,Bundesliga
Said El Mala,19,Germany,1.FC Köln,2025,2025,7,Bundesliga
Oscar Højlund,20,Denmark,Frankfurt,2024,2025,27,Bundesliga
Ilyas Ansah,20,Germany,Union Berlin,2025,2025,7,Bundesliga
Leon Avdullahu,21,Kosovo,Hoffenheim,2025,2025,7,Bundesliga
Konstantinos Koulierakis,21,Greece,Wolfsburg,2024,2025,37,Bundesliga
Lukas Ullrich,21,Germany,Mönchengladbach,2023,2025,37,Bundesliga
Ísak Jóhannesson,22,Iceland,1.FC Köln,2025,2025,7,Bundesliga
Farès Chaïbi,22,Algeria,Frankfurt,2023,2025,61,Bundesliga
Michael Olise,23,France,Bayern Munich,2024,2025,41,Bundesliga
Daniel Svensson,23,Sweden,Dortmund,2024,2025,19,Bundesliga
Nicolas Seiwald,24,Austria,Leipzig,2023,2025,58,Bundesliga
Kaishu Sano,24,Japan,Mainz,2024,2025,41,Bundesliga
Romano Schmid,25,Austria,Werder Bremen,2020,2025,121,Bundesliga
Arthur Theate,25,Belgium,Frankfurt,2024,2025,38,Bundesliga
Connor Metcalfe,25,Australia,St. Pauli,2024,2025,17,Bundesliga
Mohamed Amoura,25,Algeria,Wolfsburg,2024,2025,38,Bundesliga
Dayot Upamecano,26,France,Bayern Munich,2021,2025,109,Bundesliga
Edmond Tapsoba,26,Burkina Faso,Leverkusen,2019,2025,164,Bundesliga
Gregor Kobel,27,Switzerland,Dortmund,2021,2025,122,Bundesliga
David Raum,27,Germany,Leipzig,2022,2025,88,Bundesliga
Konrad Laimer,28,Austria,Bayern Munich,2023,2025,65,Bundesliga
Luis Díaz,28,Colombia,Bayern Munich,2025,2025,7,Bundesliga
Nico Elvedi,29,Switzerland,Mönchengladbach,2015,2025,292,Bundesliga
Jonathan Tah,29,Germany,Bayern Munich,2025,2025,7,Bundesliga
Joshua Kimmich,30,Germany,Bayern Munich,2015,2025,302,Bundesliga
Willi Orbán,32,Hungary,Leipzig,2016,2025,233,Bundesliga
Andrej Kramaric,34,Croatia,Hoffenheim,2015,2025,293,Bundesliga
Oliver Baumann,35,Germany,Hoffenheim,2014,2025,365,Bundesliga
Patrice Covic,18,Croatia,Werder Bremen,2025,2025,7,Bundesliga
Jobe Bellingham,20,England,Dortmund,2025,2025,7,Bundesliga
Jakub Kaminski,23,Poland,1.FC Köln,2025,2025,7,Bundesliga
Karim Adeyemi,23,Germany,Dortmund,2022,2025,77,Bundesliga
Fisnik Asllani,23,Kosovo,Hoffenheim,2021,2025,17,Bundesliga
Alexander Prass,24,Austria,Hoffenheim,2024,2025,30,Bundesliga
Christoph Baumgartner,26,Austria,Leipzig,2023,2025,70,Bundesliga
Ritsu Doan,27,Japan,Frankfurt,2025,2025,7,Bundesliga
Danel Sinani,28,Luxembourg,St. Pauli,2024,2025,33,Bundesliga
Kristijan Jakic,28,Croatia,Augsburg,2024,2025,38,Bundesliga
Waldemar Anton,29,Germany,Dortmund,2024,2025,33,Bundesliga
Nikola Vasilj,29,Bosnia-Herzegovina,St. Pauli,2024,2025,40,Bundesliga
Kevin Diks,29,Indonesia,Mönchengladbach,2025,2025,7,Bundesliga
Ramy Bensebaini,30,Algeria,Dortmund,2023,2025,55,Bundesliga
Phillipp Mwene,31,Austria,Mainz,2018,2025,92,Bundesliga
Harry Kane,32,England,Bayern Munich,2023,2025,70,Bundesliga
Yan Diomande,18,Cote d'Ivoire,Leipzig,2025,2025,7,Bundesliga
Arijon Ibrahimovic,19,Germany,Heidenheim,2025,2025,7,Bundesliga
Mert Kömür,20,Germany,Augsburg,2023,2025,31,Bundesliga
Ezechiel Banzuzi,20,Netherlands,Leipzig,2025,2025,7,Bundesliga
Joel Chima Fujita,23,Japan,St. Pauli,2025,2025,7,Bundesliga
Robin Hranac,25,Czech Republic,Hoffenheim,2024,2025,11,Bundesliga
Miro Muheim,27,Switzerland,Hamburg,2025,2025,7,Bundesliga
Ridle Baku,27,Germany,Leipzig,2025,2025,7,Bundesliga
Lovro Majer,27,Croatia,Wolfsburg,2023,2025,48,Bundesliga
Nadiem Amiri,28,Germany,Mainz,2024,2025,37,Bundesliga
Aleix García,28,Spain,Leverkusen,2024,2025,35,Bundesliga
Vladimír Coufal,33,Czech Republic,Hoffenheim,2025,2025,7,Bundesliga
Can Uzun,19,Türkiye,Frankfurt,2024,2025,27,Bundesliga
Bazoumana Touré,19,Cote d'Ivoire,Hoffenheim,2024,2025,20,Bundesliga
Nathaniel Brown,22,Germany,Frankfurt,2024,2025,33,Bundesliga
Angelo Stiller,24,Germany,Stuttgart,2023,2025,71,Bundesliga
James Sands,25,United States,St. Pauli,2024,2025,14,Bundesliga
Andrej Ilic,25,Serbia,Union Berlin,2024,2025,23,Bundesliga
Sebastian Sebulonsen,25,Norway,1.FC Köln,2025,2025,7,Bundesliga
Kamil Grabara,26,Poland,Wolfsburg,2024,2025,36,Bundesliga
Maximilian Mittelstädt,28,Germany,Stuttgart,2023,2025,69,Bundesliga
Andreas Hanche-Olsen,28,Norway,Mainz,2022,2025,61,Bundesliga
Robin Koch,29,Germany,Frankfurt,2023,2025,68,Bundesliga
Alejandro Grimaldo,30,Spain,Leverkusen,2023,2025,72,Bundesliga
Christian Kofane,19,Cameroon,Leverkusen,2025,2025,7,Bundesliga
Leopold Querfeld,21,Austria,Union Berlin,2024,2025,34,Bundesliga
William Mikelbrencis,21,France,Hamburg,2025,2025,7,Bundesliga
Johan Bakayoko,22,Belgium,Leipzig,2025,2025,7,Bundesliga
Armindo Sieb,22,Germany,Mainz,2024,2025,34,Bundesliga
Castello Lukeba,22,France,Leipzig,2023,2025,62,Bundesliga
Ansgar Knauff,23,Germany,Frankfurt,2022,2025,92,Bundesliga
Rocco Reitz,23,Germany,Mönchengladbach,2020,2025,71,Bundesliga
Jan Thielmann,23,Germany,1.FC Köln,2019,2025,117,Bundesliga
Noah Atubolu,23,Germany,Freiburg,2023,2025,67,Bundesliga
Chrislain Matsima,23,France,Augsburg,2024,2025,37,Bundesliga
Eric Martel,23,Germany,1.FC Köln,2022,2025,66,Bundesliga
Louis Oppie,23,Germany,St. Pauli,2025,2025,7,Bundesliga
Tiago Tomás,23,Portugal,Stuttgart,2021,2025,48,Bundesliga
Eren Dinkçi,23,Türkiye,Freiburg,2024,2025,30,Bundesliga
Rômulo,23,Brazil,Leipzig,2025,2025,7,Bundesliga
Ramon Hendriks,24,Netherlands,Stuttgart,2024,2025,32,Bundesliga
Diant Ramaj,24,Germany,Heidenheim,2025,2025,7,Bundesliga
Ransford Königsdörffer,24,Ghana,Hamburg,2025,2025,7,Bundesliga
Han-Noah Massengo,24,France,Augsburg,2025,2025,7,Bundesliga
Mikkel Kaufmann,24,Denmark,Heidenheim,2024,2025,16,Bundesliga
Justin Njinmah,24,Germany,Werder Bremen,2023,2025,57,Bundesliga
Felix Nmecha,25,Germany,Dortmund,2023,2025,53,Bundesliga
Kilian Fischer,25,Germany,Wolfsburg,2022,2025,55,Bundesliga
Sacha Boey,25,France,Bayern Munich,2023,2025,22,Bundesliga
Nicolai Remberg,25,Germany,Hamburg,2025,2025,7,Bundesliga
Rayan Philippe,25,France,Hamburg,2025,2025,7,Bundesliga
Derrick Köhn,26,Ghana,Union Berlin,2025,2025,7,Bundesliga
Moritz Jenz,26,Germany,Wolfsburg,2023,2025,29,Bundesliga
Vini Souza,26,Brazil,Wolfsburg,2025,2025,7,Bundesliga
Finn Dahmen,27,Germany,Augsburg,2023,2025,57,Bundesliga
Robin Fellhauer,27,Germany,Augsburg,2025,2025,7,Bundesliga
Joël Schmied,27,Switzerland,1.FC Köln,2025,2025,7,Bundesliga
Danilho Doekhi,27,Netherlands,Union Berlin,2022,2025,90,Bundesliga
Omar Traoré,27,Germany,Heidenheim,2023,2025,68,Bundesliga
Marco Grüll,27,Austria,Werder Bremen,2024,2025,37,Bundesliga
Ragnar Ache,27,Germany,1.FC Köln,2025,2025,7,Bundesliga
Maximilian Eggestein,28,Germany,Freiburg,2021,2025,135,Bundesliga
Moritz Nicolas,28,Germany,Mönchengladbach,2023,2025,53,Bundesliga
Eric Smith,28,Sweden,St. Pauli,2024,2025,39,Bundesliga
Mathias Pereira Lage,28,Portugal,St. Pauli,2025,2025,7,Bundesliga
Daniel Elfadli,28,Libya,Hamburg,2025,2025,7,Bundesliga
Jonas Föhrenbach,29,Germany,Heidenheim,2023,2025,67,Bundesliga
Alexander Nübel,29,Germany,Stuttgart,2023,2025,71,Bundesliga
Atakan Karazor,29,Türkiye,Stuttgart,2020,2025,144,Bundesliga
Timo Hübers,29,Germany,1.FC Köln,2021,2025,87,Bundesliga
Marnon Busch,30,Germany,Heidenheim,2023,2025,46,Bundesliga
Patrick Mainka,30,Germany,Heidenheim,2023,2025,75,Bundesliga
Marvin Schwäbe,30,Germany,1.FC Köln,2021,2025,96,Bundesliga
Grischa Prömel,30,Germany,Hoffenheim,2022,2025,55,Bundesliga
Bernardo,30,Brazil,Hoffenheim,2025,2025,7,Bundesliga
Rani Khedira,31,Germany,Union Berlin,2021,2025,124,Bundesliga
Matthias Ginter,31,Germany,Freiburg,2011,2025,166,Bundesliga
Janik Haberer,31,Germany,Union Berlin,2022,2025,88,Bundesliga
Lucas Höler,31,Germany,Freiburg,2017,2025,238,Bundesliga
Daniel Heuer Fernandes,32,Portugal,Hamburg,2025,2025,7,Bundesliga
Danny da Costa,32,Germany,Mainz,2020,2025,96,Bundesliga
Mark Flekken,32,Netherlands,Leverkusen,2025,2025,7,Bundesliga
Vincenzo Grifo,32,Italy,Freiburg,2016,2025,224,Bundesliga
Frederik Rönnow,33,Denmark,Union Berlin,2021,2025,104,Bundesliga
Stefan Bell,34,Germany,Mainz,2012,2025,291,Bundesliga
Péter Gulácsi,35,Hungary,Leipzig,2016,2025,253,Bundesliga
Christopher Trimmel,38,Austria,Union Berlin,2019,2025,172,Bundesliga
Manuel Neuer,39,Germany,Bayern Munich,2011,2025,374,Bundesliga
Nelson Weiper,20,Germany,Mainz,2022,2025,43,Bundesliga
Tom Rothe,20,Germany,Union Berlin,2024,2025,32,Bundesliga
Dzenan Pejcinovic,20,Germany,Wolfsburg,2022,2025,11,Bundesliga
Andréas Hountondji,23,Benin,St. Pauli,2025,2025,6,Bundesliga
Elias Saad,25,Tunisia,Augsburg,2025,2025,6,Bundesliga
Shuto Machino,26,Japan,Mönchengladbach,2025,2025,6,Bundesliga
Leon Goretzka,30,Germany,Bayern Munich,2018,2025,186,Bundesliga
Serge Gnabry,30,Germany,Bayern Munich,2018,2025,199,Bundesliga
Marcel Sabitzer,31,Austria,Dortmund,2023,2025,57,Bundesliga
Antonio Nusa,20,Norway,Leipzig,2024,2025,31,Bundesliga
