player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Vitalie Becker,20,Germany,FC Schalke 04,2025,2025,10,2. Bundesliga
Marcel Beifus,22,Germany,Karlsruher SC,2023,2025,62,2. Bundesliga
David Herold,22,Germany,Karlsruher SC,2023,2025,66,2. Bundesliga
Noel Futkeu,22,Germany,Greuther Fürth,2024,2025,44,2. Bundesliga
Lilian Egloff,23,Germany,Karlsruher SC,2024,2025,24,2. Bundesliga
Soufiane El-Faouzi,23,Germany,FC Schalke 04,2025,2025,10,2. Bundesliga
Hans Christian Bernat,24,Denmark,Karlsruher SC,2025,2025,10,2. Bundesliga
Merveille Papela,24,Germany,Darmstadt 98,2024,2025,42,2. Bundesliga
Adrian Gantenbein,24,Switzerland,FC Schalke 04,2024,2025,30,2. Bundesliga
Fraser Hornby,26,Scotland,Darmstadt 98,2024,2025,38,2. Bundesliga
Patric Pfeiffer,26,Ghana,Darmstadt 98,2019,2025,90,2. Bundesliga
Ron Schallenberg,27,Germany,FC Schalke 04,2023,2025,67,2. Bundesliga
Pelle Boevink,27,Netherlands,Greuther Fürth,2025,2025,10,2. Bundesliga
Nicolai Rapp,28,Germany,Karlsruher SC,2023,2025,51,2. Bundesliga
Felix Higl,28,Germany,Greuther Fürth,2025,2025,10,2. Bundesliga
Christoph Kobald,28,Austria,Karlsruher SC,2019,2025,134,2. Bundesliga
Luca Marseiler,28,Germany,Darmstadt 98,2024,2025,41,2. Bundesliga
Julian Green,30,United States,Greuther Fürth,2017,2025,197,2. Bundesliga
Aleksandar Vukotic,30,Serbia,Darmstadt 98,2024,2025,42,2. Bundesliga
Loris Karius,32,Germany,FC Schalke 04,2024,2025,14,2. Bundesliga
Marcel Schuhen,32,Germany,Darmstadt 98,2019,2025,165,2. Bundesliga
Marvin Wanitzek,32,Germany,Karlsruher SC,2019,2025,209,2. Bundesliga
Branimir Hrgota,32,Sweden,Greuther Fürth,2019,2025,172,2. Bundesliga
Felix Klaus,33,Germany,Greuther Fürth,2010,2025,48,2. Bundesliga
Fabian Schleusener,34,Germany,Karlsruher SC,2021,2025,141,2. Bundesliga
Finn Porath,28,Germany,Holstein Kiel,2019,2025,149,2. Bundesliga
Noel Aseko,19,Germany,Hannover 96,2024,2025,10,2. Bundesliga
Laurin Ulrich,20,Germany,1.FC Magdeburg,2025,2025,9,2. Bundesliga
Rafael Lubach,20,Germany,1.FC Nuremberg,2024,2025,36,2. Bundesliga
Maurice Krattenmacher,20,Germany,Hertha BSC,2025,2025,9,2. Bundesliga
Benjamin Källman,27,Finland,Hannover 96,2025,2025,9,2. Bundesliga
Alexander Bernhardsson,27,Sweden,Holstein Kiel,2023,2025,22,2. Bundesliga
Matus Bero,30,Slovakia,VfL Bochum,2025,2025,9,2. Bundesliga
Dennis Seimen,19,Germany,SC Paderborn,2025,2025,9,2. Bundesliga
Berkay Yilmaz,20,Türkiye,1.FC Nuremberg,2024,2025,33,2. Bundesliga
Leandro Morgalla,21,Germany,VfL Bochum,2025,2025,9,2. Bundesliga
Márton Dárdai,23,Hungary,Hertha BSC,2023,2025,68,2. Bundesliga
Moussa Sylla,25,Mali,FC Schalke 04,2024,2025,36,2. Bundesliga
Dzenis Burnic,27,Bosnia-Herzegovina,Karlsruher SC,2023,2025,70,2. Bundesliga
