player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Nestory Irankunda,19,Australia,Watford,2025,2025,11,Championship
Shea Charles,21,Northern Ireland,Southampton,2023,2025,43,Championship
Isaac Price,22,Northern Ireland,West Brom,2024,2025,26,Championship
Tyreece Campbell,22,Jamaica,Charlton,2025,2025,11,Championship
Ethan Galbraith,24,Northern Ireland,Swansea,2025,2025,11,Championship
Ali McCann,25,Northern Ireland,Preston,2021,2025,130,Championship
Yan Valery,26,Tunisia,Sheff Wed,2024,2025,50,Championship
Cameron Burgess,30,Australia,Swansea,2025,2025,11,Championship
Divin Mubama,20,England,Stoke City,2025,2025,11,Championship
Bailey Cadamarteri,20,Jamaica,Sheff Wed,2023,2025,34,Championship
Sydie Peck,21,England,Sheff Utd,2024,2025,53,Championship
Ben Cabango,25,Wales,Swansea,2019,2025,222,Championship
Sorba Thomas,26,Wales,Stoke City,2025,2025,11,Championship
Patson Daka,27,Zambia,Leicester,2023,2025,31,Championship
Ebou Adams,29,The Gambia,Derby,2024,2025,55,Championship
Lawrence Vigouroux,31,Chile,Swansea,2024,2025,57,Championship
Kieffer Moore,33,Wales,Wrexham,2025,2025,11,Championship
Aidan Morris,23,United States,Middlesbrough,2024,2025,46,Championship
Aune Heggebø,24,Norway,West Brom,2025,2025,11,Championship
Jay Dasilva,27,Wales,Coventry,2023,2025,79,Championship
Viktor Johansson,27,Sweden,Stoke City,2024,2025,57,Championship
Seung-ho Paik,28,"Korea, South",Birmingham,2023,2025,29,Championship
Jannik Vestergaard,33,Denmark,Leicester,2023,2025,53,Championship
Thierry Small,21,England,Preston,2025,2025,11,Championship
Issahaku Fatawu,21,Ghana,Leicester,2023,2025,51,Championship
Josh Sargent,25,United States,Norwich,2022,2025,109,Championship
Brandon Thomas-Asante,26,Ghana,Coventry,2024,2025,47,Championship
Amari'i Bell,31,Jamaica,Charlton,2025,2025,11,Championship
Ante Crnac,21,Croatia,Norwich,2024,2025,49,Championship
Stanley Mills,21,England,Oxford United,2024,2025,22,Championship
Junior Tchamadeu,21,Cameroon,Stoke City,2023,2025,67,Championship
Adrian Segecic,21,Australia,Portsmouth,2025,2025,11,Championship
