player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Kristian Hlynsson,21,Iceland,Twente FC,2025,2025,9,Eredivisie
Oscar Gloukh,21,Israel,Ajax,2025,2025,9,Eredivisie
Ismael Saibari,24,Morocco,PSV,2020,2025,75,Eredivisie
Ryan Thomas,30,New Zealand,PEC Zwolle,2013,2025,156,Eredivisie
Yarek Gasiorowski,20,Spain,PSV,2025,2025,9,Eredivisie
Thom van Bergen,21,Netherlands,FC Groningen,2022,2025,55,Eredivisie
Tyrese Noslin,23,Curacao,Telstar,2025,2025,9,Eredivisie
Dean James,25,Indonesia,Go Ahead Eagles,2023,2025,39,Eredivisie
Matej Kovar,25,Czech Republic,PSV,2025,2025,9,Eredivisie
Sherel Floranus,27,Curacao,PEC Zwolle,2025,2025,9,Eredivisie
Ayase Ueda,27,Japan,Feyenoord,2023,2025,56,Eredivisie
Mats Rots,19,Netherlands,Twente FC,2023,2025,25,Eredivisie
Thijmen Blokzijl,20,Netherlands,FC Groningen,2022,2025,52,Eredivisie
Yvandro Borges Sanches,21,Luxembourg,Heracles Almelo,2025,2025,9,Eredivisie
Wouter Goes,21,Netherlands,AZ Alkmaar,2022,2025,58,Eredivisie
Jorg Schreuders,21,Netherlands,FC Groningen,2022,2025,46,Eredivisie
Souffian El Karouani,25,Morocco,Utrecht,2023,2025,72,Eredivisie
Virgil Misidjan,32,Suriname,NEC Nijmegen,2025,2025,9,Eredivisie
Juho Talvitie,20,Finland,NAC Breda,2025,2025,9,Eredivisie
Marvin Young,20,Netherlands,Sparta R.,2024,2025,35,Eredivisie
Gjivai Zechiël,21,Netherlands,Utrecht,2025,2025,9,Eredivisie
Vitezslav Jaros,24,Czech Republic,Ajax,2025,2025,9,Eredivisie
Ozan Kökcü,27,Azerbaijan,FC Volendam,2025,2025,9,Eredivisie
Ramiz Zerrouki,27,Algeria,Twente FC,2020,2025,104,Eredivisie
Jerdy Schouten,28,Netherlands,PSV,2023,2025,56,Eredivisie
Adrian Blake,20,England,Utrecht,2023,2025,31,Eredivisie
Cherrion Valerius,20,Curacao,NAC Breda,2024,2025,24,Eredivisie
Nordin Bukala,20,Netherlands,FC Volendam,2025,2025,9,Eredivisie
Aurelio Oehlers,21,Netherlands,FC Volendam,2025,2025,9,Eredivisie
David van der Werff,21,Netherlands,FC Groningen,2024,2025,11,Eredivisie
Nils Rossen,21,Netherlands,Telstar,2025,2025,9,Eredivisie
Olivier Aertssen,21,Netherlands,PEC Zwolle,2024,2025,29,Eredivisie
Sami Ouaissa,21,Netherlands,NEC Nijmegen,2024,2025,42,Eredivisie
Isak Jensen,21,Denmark,AZ Alkmaar,2025,2025,9,Eredivisie
Philip Brittijn,21,Netherlands,Fortuna Sittard,2025,2025,9,Eredivisie
Alonzo Engwanda,22,Belgium,Utrecht,2024,2025,30,Eredivisie
Ryan Flamingo,22,Netherlands,PSV,2024,2025,43,Eredivisie
Luciano Valente,22,Netherlands,Feyenoord,2025,2025,9,Eredivisie
Casper Widell,22,Sweden,Excelsior,2023,2025,39,Eredivisie
Anselmo García MacNulty,22,Ireland,PEC Zwolle,2023,2025,74,Eredivisie
Miguel Rodríguez,22,Spain,Utrecht,2024,2025,31,Eredivisie
Mohamed Nassoh,22,Morocco,NAC Breda,2025,2025,9,Eredivisie
Tika de Jonge,22,Netherlands,FC Groningen,2024,2025,30,Eredivisie
Milan Smit,22,Netherlands,Go Ahead Eagles,2024,2025,31,Eredivisie
Gyan de Regt,22,Netherlands,Excelsior,2025,2025,9,Eredivisie
Kayne van Oevelen,22,Netherlands,FC Volendam,2023,2025,10,Eredivisie
Stije Resink,22,Netherlands,FC Groningen,2025,2025,9,Eredivisie
Milan Zonneveld,22,Netherlands,Telstar,2025,2025,9,Eredivisie
Younes Taha,22,Morocco,FC Groningen,2025,2025,9,Eredivisie
Marcus Linday,22,Sweden,Heerenveen,2024,2025,24,Eredivisie
Kodai Sano,22,Japan,NEC Nijmegen,2023,2025,58,Eredivisie
Kenneth Taylor,23,Netherlands,Ajax,2020,2025,124,Eredivisie
Dirk Proper,23,Netherlands,NEC Nijmegen,2021,2025,116,Eredivisie
Yannick Leliendal,23,Suriname,FC Volendam,2025,2025,9,Eredivisie
Jasper Dahlhaus,23,Netherlands,Fortuna Sittard,2024,2025,40,Eredivisie
Denso Kasius,23,Netherlands,AZ Alkmaar,2023,2025,55,Eredivisie
Rick Meissen,23,Netherlands,Excelsior,2025,2025,9,Eredivisie
Ryan Fosso,23,Switzerland,Fortuna Sittard,2024,2025,39,Eredivisie
Vaclav Sejk,23,Czech Republic,Heerenveen,2025,2025,9,Eredivisie
Maxence Rivera,23,France,Heerenveen,2025,2025,9,Eredivisie
Thomas van den Belt,24,Netherlands,Twente FC,2025,2025,9,Eredivisie
Mathis Suray,24,Belgium,Go Ahead Eagles,2024,2025,39,Eredivisie
Alexandre Penetra,24,Portugal,AZ Alkmaar,2023,2025,65,Eredivisie
Ivan Mesik,24,Slovakia,Heracles Almelo,2024,2025,42,Eredivisie
Kaj de Rooij,24,Netherlands,PEC Zwolle,2023,2025,35,Eredivisie
Jacob Trenskow,24,Denmark,Heerenveen,2024,2025,34,Eredivisie
Bart van Rooij,24,Netherlands,Twente FC,2025,2025,9,Eredivisie
Guus Offerhaus,24,Netherlands,Telstar,2025,2025,9,Eredivisie
Daan Rots,24,Netherlands,Twente FC,2020,2025,134,Eredivisie
Patrick Brouwer,24,Netherlands,Telstar,2025,2025,9,Eredivisie
Derensili Sanches Fernandes,24,Netherlands,Excelsior,2023,2025,39,Eredivisie
Vasilios Zagaritis,24,Greece,Heerenveen,2025,2025,9,Eredivisie
Soufiane Hetli,24,Netherlands,Telstar,2025,2025,9,Eredivisie
Peer Koopmeiners,25,Netherlands,AZ Alkmaar,2021,2025,71,Eredivisie
Evert Linthorst,25,Netherlands,Go Ahead Eagles,2021,2025,98,Eredivisie
Thijs Oosting,25,Netherlands,PEC Zwolle,2025,2025,9,Eredivisie
Kamal Sowah,25,Ghana,NAC Breda,2024,2025,21,Eredivisie
Sven Mijnans,25,Netherlands,AZ Alkmaar,2023,2025,67,Eredivisie
Gonzalo Crettaz,25,Spain,NEC Nijmegen,2025,2025,9,Eredivisie
Adam Carlén,25,Sweden,Excelsior,2025,2025,9,Eredivisie
Dylan Vente,26,Suriname,Heerenveen,2025,2025,9,Eredivisie
Melle Meulensteen,26,Netherlands,Go Ahead Eagles,2025,2025,9,Eredivisie
Jari De Busser,26,Belgium,Go Ahead Eagles,2024,2025,25,Eredivisie
Boy Kemper,26,Netherlands,NAC Breda,2024,2025,38,Eredivisie
Koen Kostons,26,Netherlands,PEC Zwolle,2025,2025,9,Eredivisie
Daniel Bielica,26,Poland,NAC Breda,2024,2025,41,Eredivisie
