player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Arda Güler,20,Türkiye,Real Madrid,2023,2025,47,LaLiga
Pedri,22,Spain,Barcelona,2020,2025,145,LaLiga
Giuliano Simeone,22,Argentina,Atlético,2021,2025,43,LaLiga
Rahim Alhassane,23,Niger,Real Oviedo,2025,2025,9,LaLiga
Tajon Buchanan,26,Canada,Villarreal,2024,2025,22,LaLiga
Marcus Rashford,27,England,Barcelona,2025,2025,9,LaLiga
Unai Simón,28,Spain,Athletic Club,2018,2025,209,LaLiga
Mikel Oyarzabal,28,Spain,Real Sociedad,2015,2025,324,LaLiga
Robin Le Normand,28,Spain,Atlético,2024,2025,36,LaLiga
Jan Oblak,32,Slovenia,Atlético,2014,2025,378,LaLiga
Thibaut Courtois,33,Belgium,Real Madrid,2018,2025,209,LaLiga
Julián Alvarez,25,Argentina,Atlético,2024,2025,46,LaLiga
Kylian Mbappé,26,France,Real Madrid,2024,2025,43,LaLiga
Jules Koundé,26,France,Barcelona,2022,2025,105,LaLiga
Pape Gueye,26,Senegal,Villarreal,2024,2025,43,LaLiga
Dávid Hancko,27,Slovakia,Atlético,2025,2025,9,LaLiga
Andrei Rațiu,27,Romania,Rayo Vallecano,2023,2025,56,LaLiga
Nicolas Pépé,30,Cote d'Ivoire,Villarreal,2024,2025,37,LaLiga
Pathé Ciss,31,Senegal,Rayo Vallecano,2021,2025,136,LaLiga
Dakonam Djené,33,Togo,Getafe,2017,2025,279,LaLiga
Ante Budimir,34,Croatia,CA Osasuna,2020,2025,169,LaLiga
Pablo Barrios,22,Spain,Atlético,2022,2025,85,LaLiga
Enzo Boyomo,24,Cameroon,CA Osasuna,2025,2025,9,LaLiga
Vinicius Junior,25,Brazil,Real Madrid,2018,2025,215,LaLiga
Aurélien Tchouaméni,25,France,Real Madrid,2022,2025,101,LaLiga
Federico Valverde,27,Uruguay,Real Madrid,2018,2025,220,LaLiga
Ionuț Radu,28,Romania,Celta de Vigo,2025,2025,9,LaLiga
Iñaki Williams,31,Ghana,Athletic Club,2014,2025,386,LaLiga
Borja Iglesias,32,Spain,Celta de Vigo,2014,2025,47,LaLiga
Johan Mojica,33,Colombia,RCD Mallorca,2024,2025,45,LaLiga
Karl Etta Eyong,22,Cameroon,Villarreal,2024,2025,13,LaLiga
Yáser Asprilla,21,Colombia,Girona,2024,2025,36,LaLiga
Mario Martín,21,Spain,Getafe,2025,2025,9,LaLiga
Omar El Hilali,22,Morocco,Espanyol,2022,2025,50,LaLiga
Cucho Hernández,26,Colombia,Real Betis,2024,2025,24,LaLiga
Marcos Llorente,30,Spain,Atlético,2019,2025,196,LaLiga
Mikel Jauregizar,21,Spain,Athletic Club,2023,2025,50,LaLiga
Ilaix Moriba,22,Guinea,Celta de Vigo,2024,2025,42,LaLiga
Carlos Álvarez,22,Spain,Levante,2025,2025,9,LaLiga
Pablo Torre,22,Spain,RCD Mallorca,2025,2025,9,LaLiga
Alberto Moleiro,22,Spain,Villarreal,2025,2025,9,LaLiga
Álvaro Carreras,22,Spain,Real Madrid,2025,2025,9,LaLiga
Javi Guerra,22,Spain,Valencia,2006,2025,93,LaLiga
Pablo Marín,22,Spain,Real Sociedad,2022,2025,42,LaLiga
Víctor Muñoz,22,Spain,CA Osasuna,2025,2025,9,LaLiga
Ander Barrenetxea,23,Spain,Real Sociedad,2018,2025,159,LaLiga
Diego López,23,Spain,Valencia,2022,2025,93,LaLiga
Haissem Hassan,23,France,Real Oviedo,2025,2025,9,LaLiga
Tyrhys Dolan,23,England,Espanyol,2025,2025,9,LaLiga
César Tárrega,23,Spain,Valencia,2023,2025,44,LaLiga
Carlos Romero,23,Spain,Espanyol,2024,2025,43,LaLiga
Roberto Fernández,23,Spain,Espanyol,2024,2025,28,LaLiga
Eric García,24,Spain,Barcelona,2021,2025,88,LaLiga
Julen Agirrezabala,24,Spain,Valencia,2025,2025,9,LaLiga
Iván Romero,24,Spain,Levante,2025,2025,9,LaLiga
Raúl García,24,Spain,CA Osasuna,2004,2025,177,LaLiga
Natan,24,Brazil,Real Betis,2024,2025,40,LaLiga
Sergio Gómez,25,Spain,Real Sociedad,2024,2025,46,LaLiga
Mateu Morey,25,Spain,RCD Mallorca,2024,2025,25,LaLiga
Conor Gallagher,25,England,Atlético,2024,2025,41,LaLiga
Leo Román,25,Spain,RCD Mallorca,2021,2025,19,LaLiga
Hugo Duro,25,Spain,Valencia,2022,2025,107,LaLiga
Álvaro Núñez,25,Spain,Elche CF,2025,2025,9,LaLiga
Pol Lozano,26,Spain,Espanyol,2019,2025,48,LaLiga
Jesús Areso,26,Spain,Athletic Club,2025,2025,9,LaLiga
Carlos Vicente,26,Spain,Alavés,2023,2025,64,LaLiga
Carles Aleñá,27,Spain,Alavés,2025,2025,9,LaLiga
Pedro Díaz,27,Spain,Rayo Vallecano,2024,2025,35,LaLiga
Jon Moncayola,27,Spain,CA Osasuna,2019,2025,210,LaLiga
Pep Chavarría,27,Spain,Rayo Vallecano,2022,2025,80,LaLiga
Pablo Ibáñez,27,Spain,Alavés,2025,2025,9,LaLiga
Gonçalo Guedes,28,Portugal,Real Sociedad,2025,2025,9,LaLiga
Toni Martínez,28,Spain,Alavés,2024,2025,37,LaLiga
Igor Zubeldia,28,Spain,Real Sociedad,2015,2025,243,LaLiga
Arnaut Danjuma,28,Netherlands,Valencia,2025,2025,9,LaLiga
Rafa Mir,28,Spain,Elche CF,2025,2025,9,LaLiga
Léo Pétrot,28,France,Elche CF,2025,2025,9,LaLiga
Roger Brugué,28,Spain,Levante,2025,2025,9,LaLiga
Unai López,29,Spain,Rayo Vallecano,2021,2025,136,LaLiga
