player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Aingeru Olabarrieta,19,Spain,FC Andorra,2025,2025,10,LaLiga2
Min-su Kim,19,"Korea, South",FC Andorra,2025,2025,10,LaLiga2
Jeremy Arévalo,20,Ecuador,Racing,2023,2025,29,LaLiga2
Oscar Naasei,20,Ghana,Granada CF,2024,2025,16,LaLiga2
Aleix Garrido,21,Spain,SD Eibar,2025,2025,10,LaLiga2
Chupe,21,Spain,Málaga CF,2024,2025,29,LaLiga2
Stipe Biuk,22,Croatia,Real Valladolid,2023,2025,21,LaLiga2
Marc Doménech,22,Spain,FC Andorra,2025,2025,10,LaLiga2
Yeremay Hernández,22,Spain,Dep. La Coruña,2024,2025,49,LaLiga2
Javi Villar,22,Spain,Albacete,2024,2025,36,LaLiga2
Diego Sánchez,22,Spain,Sporting Gijón,2021,2025,78,LaLiga2
David Torres,22,Spain,Real Valladolid,2023,2025,34,LaLiga2
Dani Barcia,22,Spain,Dep. La Coruña,2024,2025,26,LaLiga2
Ale García,22,Spain,UD Las Palmas,2021,2025,16,LaLiga2
Thiago Ojeda,22,Argentina,CyD Leonesa,2025,2025,10,LaLiga2
Rafa Rodríguez,22,Spain,Málaga CF,2022,2025,17,LaLiga2
Mario Soriano,23,Spain,Dep. La Coruña,2024,2025,52,LaLiga2
David González,23,Spain,Burgos CF,2001,2025,40,LaLiga2
David Larrubia,23,Spain,Málaga CF,2020,2025,54,LaLiga2
Victor Aznar,23,Brazil,Cádiz CF,2024,2025,12,LaLiga2
Lalo Aguilar,23,Spain,CD Leganés,2022,2025,15,LaLiga2
Naim García,23,Spain,CD Leganés,2021,2025,44,LaLiga2
Álvaro García Pascual,23,Spain,Cádiz CF,2025,2025,10,LaLiga2
César Gelabert,24,Spain,Sporting Gijón,2024,2025,49,LaLiga2
Marco Moreno,24,Spain,SD Eibar,2025,2025,10,LaLiga2
Arnau Puigmal,24,Spain,UD Almería,2021,2025,82,LaLiga2
Sergio Arribas,24,Spain,UD Almería,2024,2025,51,LaLiga2
Iván Morante,24,Spain,Burgos CF,2024,2025,44,LaLiga2
Lautaro de León,24,Uruguay,FC Andorra,2025,2025,10,LaLiga2
Sergio Barcia,24,Spain,UD Las Palmas,2025,2025,10,LaLiga2
Guilherme Fernandes,24,Portugal,Real Valladolid,2025,2025,10,LaLiga2
Nico Melamed,24,Spain,UD Almería,2024,2025,48,LaLiga2
Enzo Loiodice,24,France,UD Las Palmas,2020,2025,88,LaLiga2
Luismi Cruz,24,Spain,Dep. La Coruña,2025,2025,10,LaLiga2
Juanmi Latasa,24,Spain,Real Valladolid,2025,2025,10,LaLiga2
Jon Magunazelaia,24,Spain,SD Eibar,2025,2025,10,LaLiga2
Iker Recio,24,Spain,Cádiz CF,2024,2025,13,LaLiga2
Dani Villahermosa,24,Spain,FC Andorra,2025,2025,10,LaLiga2
Isma Ruiz,24,Spain,Córdoba CF,2024,2025,45,LaLiga2
Francho Serrano,24,Spain,Real Zaragoza,2020,2025,167,LaLiga2
Kevin Medina,24,Spain,Córdoba CF,2025,2025,10,LaLiga2
Luis Chacón,25,Spain,CyD Leonesa,2025,2025,10,LaLiga2
Zakaria Eddahchouri,25,Netherlands,Dep. La Coruña,2024,2025,26,LaLiga2
Juan Gutiérrez,25,Spain,CD Mirandés,2024,2025,47,LaLiga2
Duk,25,Cape Verde,CD Leganés,2025,2025,10,LaLiga2
Gaspar Campos,25,Spain,Sporting Gijón,2019,2025,182,LaLiga2
Marvin Park,25,Spain,UD Las Palmas,2022,2025,34,LaLiga2
Jonmi Magunagoitia,25,Spain,SD Eibar,2024,2025,42,LaLiga2
Jon Guruzeta,25,Spain,SD Eibar,2024,2025,43,LaLiga2
Julen Lobete,25,Spain,Málaga CF,2024,2025,46,LaLiga2
Fer Niño,25,Spain,Burgos CF,2023,2025,88,LaLiga2
Jonathan Dubasin,25,Spain,Sporting Gijón,2024,2025,47,LaLiga2
Álex Calatrava,25,Spain,Castellón,2024,2025,42,LaLiga2
Diego García,25,Spain,CD Leganés,2020,2025,58,LaLiga2
Pablo Tomeo,25,Spain,Real Valladolid,2025,2025,10,LaLiga2
Lucas Perrin,26,France,Sporting Gijón,2025,2025,10,LaLiga2
Dinko Horkas,26,Croatia,UD Las Palmas,2025,2025,10,LaLiga2
Miguel de la Fuente,26,Spain,CD Leganés,2020,2025,69,LaLiga2
