player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Chris Richards,25,United States,Crystal Palace,2022,2025,67,Premier League
Josh King,18,England,Fulham,2024,2025,16,Premier League
El Hadji Malick Diouf,20,Senegal,West Ham,2025,2025,8,Premier League
Milos Kerkez,21,Hungary,Liverpool,2025,2025,8,Premier League
Yankuba Minteh,21,The Gambia,Brighton,2024,2025,40,Premier League
Elliot Anderson,22,England,Nott'm Forest,2024,2025,45,Premier League
Florian Wirtz,22,Germany,Liverpool,2025,2025,8,Premier League
Benjamin Šeško,22,Slovenia,Man Utd,2025,2025,8,Premier League
Yasin Ayari,22,Sweden,Brighton,2022,2025,45,Premier League
Jérémy Doku,23,Belgium,Man City,2023,2025,66,Premier League
Morgan Rogers,23,England,Aston Villa,2023,2025,56,Premier League
Trai Hume,23,Northern Ireland,Sunderland,2025,2025,8,Premier League
Bart Verbruggen,23,Netherlands,Brighton,2023,2025,65,Premier League
Dominik Szoboszlai,24,Hungary,Liverpool,2023,2025,77,Premier League
Nathan Collins,24,Ireland,Brentford,2023,2025,78,Premier League
Neco Williams,24,Wales,Nott'm Forest,2022,2025,100,Premier League
Micky van de Ven,24,Netherlands,Tottenham,2023,2025,48,Premier League
Jake O'Brien,24,Ireland,Everton,2024,2025,28,Premier League
Sandro Tonali,25,Italy,Newcastle,2023,2025,52,Premier League
Calvin Bassey,25,Nigeria,Fulham,2023,2025,72,Premier League
Pedro Neto,25,Portugal,Chelsea,2024,2025,43,Premier League
Mohammed Kudus,25,Ghana,Tottenham,2025,2025,8,Premier League
Antoine Semenyo,25,Ghana,Bournemouth,2022,2025,89,Premier League
Iliman Ndiaye,25,Senegal,Everton,2024,2025,41,Premier League
Donyell Malen,26,Netherlands,Aston Villa,2024,2025,22,Premier League
Tyler Adams,26,United States,Bournemouth,2023,2025,39,Premier League
Caoimhín Kelleher,26,Ireland,Brentford,2025,2025,8,Premier League
Declan Rice,26,England,Arsenal,2023,2025,81,Premier League
Gabriel Gudmundsson,26,Sweden,Leeds,2025,2025,8,Premier League
Bryan Mbeumo,26,Cameroon,Man Utd,2025,2025,8,Premier League
Martín Zubimendi,26,Spain,Arsenal,2025,2025,8,Premier League
Cody Gakpo,26,Netherlands,Liverpool,2022,2025,99,Premier League
Djordje Petrovic,26,Serbia,Bournemouth,2025,2025,8,Premier League
Pedro Porro,26,Spain,Tottenham,2022,2025,91,Premier League
Viktor Gyökeres,27,Sweden,Arsenal,2025,2025,8,Premier League
Sander Berge,27,Norway,Fulham,2024,2025,39,Premier League
Tijjani Reijnders,27,Netherlands,Man City,2025,2025,8,Premier League
Beto,27,Guinea-Bissau,Everton,2023,2025,68,Premier League
Rúben Dias,28,Portugal,Man City,2020,2025,152,Premier League
