player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Luke Graham,21,Scotland,Dundee FC,2024,2025,12,Premiership
Finlay Robertson,22,Scotland,Dundee FC,2021,2025,47,Premiership
Imari Samuels,22,England,Dundee FC,2024,2025,11,Premiership
Ryan Astley,24,Wales,Dundee FC,2023,2025,31,Premiership
Jon McCracken,25,Scotland,Dundee FC,2023,2025,32,Premiership
Jérôme Prior,30,France,Livingston FC,2025,2025,9,Premiership
Mohamad Sylla,31,France,Livingston FC,2025,2025,9,Premiership
Clark Robertson,32,Scotland,Dundee FC,2024,2025,26,Premiership
Danny Wilson,33,Scotland,Livingston FC,2025,2025,9,Premiership
Scott Pittman,33,Scotland,Livingston FC,2018,2025,175,Premiership
David Watson,20,Scotland,Kilmarnock FC,2022,2025,75,Premiership
John Souttar,29,Scotland,Rangers,2022,2025,59,Premiership
Martin Boyle,32,Australia,Hibernian FC,2017,2025,197,Premiership
Kasper Schmeichel,38,Denmark,Celtic,2024,2025,38,Premiership
Topi Keskinen,22,Finland,Aberdeen FC,2024,2025,39,Premiership
Tawanda Maswanhise,22,Zimbabwe,Motherwell FC,2024,2025,35,Premiership
Benjamin Nygren,24,Sweden,Celtic,2025,2025,8,Premiership
Panutche Camara,28,Guinea-Bissau,Dundee United,2025,2025,8,Premiership
Macaulay Tait,20,Scotland,Livingston FC,2025,2025,8,Premiership
Kieron Bowie,23,Scotland,Hibernian FC,2024,2025,21,Premiership
Killian Phillips,23,Ireland,St. Mirren,2024,2025,38,Premiership
Liam Scales,27,Ireland,Celtic,2021,2025,64,Premiership
Dimitar Mitov,28,Bulgaria,Aberdeen FC,2024,2025,27,Premiership
Henry Cartwright,20,England,Falkirk,2025,2025,8,Premiership
Joe Westley,21,England,Dundee FC,2025,2025,8,Premiership
Marcus Dackers,22,Wales,Kilmarnock FC,2025,2025,8,Premiership
Josh Mulligan,22,Scotland,Hibernian FC,2025,2025,8,Premiership
Djeidi Gassama,22,France,Rangers,2025,2025,8,Premiership
Ashley Hay,22,England,Dundee FC,2025,2025,8,Premiership
Andy Winter,23,Scotland,Livingston FC,2025,2025,8,Premiership
Adil Aouchiche,23,France,Aberdeen FC,2025,2025,8,Premiership
Dylan Tait,23,Scotland,Falkirk,2025,2025,8,Premiership
Zachary Sapsford,23,Australia,Dundee United,2025,2025,8,Premiership
Ibrahim Said,23,Nigeria,Motherwell FC,2025,2025,8,Premiership
Adam Montgomery,23,Scotland,Livingston FC,2025,2025,8,Premiership
Keelan Adams,23,Scotland,Falkirk,2025,2025,8,Premiership
Danny Finlayson,24,Northern Ireland,Livingston FC,2025,2025,8,Premiership
Alexander Jensen,24,Denmark,Aberdeen FC,2024,2025,19,Premiership
Emmanuel Longelo,24,England,Motherwell FC,2025,2025,8,Premiership
Oisin McEntee,24,Ireland,Heart of Midl.,2025,2025,8,Premiership
Callum Jones,24,Wales,Dundee FC,2025,2025,8,Premiership
Lukas Fadinger,25,Austria,Motherwell FC,2025,2025,8,Premiership
Lewis Mayo,25,Scotland,Kilmarnock FC,2022,2025,102,Premiership
Elliot Watt,25,Scotland,Motherwell FC,2025,2025,8,Premiership
Lewis Smith,25,Scotland,Livingston FC,2025,2025,8,Premiership
Alfie Agyeman,25,Ghana,Falkirk,2025,2025,8,Premiership
Dominic Thompson,25,England,Kilmarnock FC,2025,2025,8,Premiership
Ivan Dolcek,25,Croatia,Dundee United,2025,2025,8,Premiership
Jayden Richardson,25,England,St. Mirren,2025,2025,8,Premiership
Vicko Sevelj,25,Croatia,Dundee United,2024,2025,38,Premiership
Alexandros Kyziridis,25,Greece,Heart of Midl.,2025,2025,8,Premiership
Krisztián Keresztes,25,Hungary,Dundee United,2025,2025,8,Premiership
Calum Ward,25,England,Motherwell FC,2025,2025,8,Premiership
Cláudio Braga,25,Portugal,Heart of Midl.,2025,2025,8,Premiership
