player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Rareș Burnete,21,Romania,Juve Stabia,2025,2025,8,Serie B
Przemysław Wiśniewski,27,Poland,Spezia Calcio,2023,2025,41,Serie B
Seid Korac,24,Luxembourg,Venezia,2025,2025,8,Serie B
Joseph Ceesay,27,The Gambia,FC Empoli,2025,2025,8,Serie B
Joel Pohjanpalo,31,Finland,Palermo,2024,2025,22,Serie B
Jonas Harder,20,Italy,Padova,2025,2025,8,Serie B
Lorenzo Palmisani,21,Italy,Frosinone,2025,2025,8,Serie B
Anthony Oyono,24,Gabon,Frosinone,2021,2025,55,Serie B
Bjarki Bjarkason,25,Iceland,Venezia,2020,2025,49,Serie B
Edoardo Motta,20,Italy,Reggiana,2024,2025,10,Serie B
Tommaso Berti,21,Italy,Cesena,2024,2025,37,Serie B
Cristian Shpendi,22,Albania,Cesena,2024,2025,42,Serie B
Mehdi Dorval,24,Algeria,Bari,2022,2025,98,Serie B
Alphadjo Cissè,19,Italy,Catanzaro,2025,2025,8,Serie B
Jacopo Martini,20,Italy,Südtirol,2024,2025,30,Serie B
Marco Dalla Vecchia,20,Italy,Virtus Entella,2025,2025,8,Serie B
Valerio Crespi,21,Italy,Avellino,2025,2025,8,Serie B
Costantino Favasuli,21,Italy,Catanzaro,2025,2025,8,Serie B
Stefano Di Mario,21,Italy,Virtus Entella,2025,2025,8,Serie B
Sebastiano Desplanches,22,Italy,Pescara,2025,2025,8,Serie B
Gabriele Bracaglia,22,Italy,Frosinone,2024,2025,34,Serie B
Nicolò Radaelli,22,Italy,Mantova,2024,2025,28,Serie B
Andrea Oliveri,22,Italy,Pescara,2025,2025,8,Serie B
Niklas Pyyhtiä,22,Finland,Modena,2025,2025,8,Serie B
Franco Carboni,22,Argentina,FC Empoli,2025,2025,8,Serie B
Bruno Verrengia,22,Italy,Catanzaro,2025,2025,8,Serie B
Rareș Ilie,22,Romania,FC Empoli,2025,2025,8,Serie B
Fabio Abiuso,22,Italy,Carrarese,2025,2025,8,Serie B
Mattia Fortin,22,Italy,Padova,2025,2025,8,Serie B
Issa Doumbia,22,Italy,Venezia,2025,2025,8,Serie B
Alessandro Debenedetti,22,Italy,Virtus Entella,2025,2025,8,Serie B
Emanuele Zuelli,23,Italy,Carrarese,2024,2025,41,Serie B
Alessandro Pio Riccio,23,Italy,Sampdoria,2024,2025,34,Serie B
Niccolò Squizzato,23,Italy,Pescara,2025,2025,8,Serie B
Simone Trimboli,23,Italy,Mantova,2024,2025,43,Serie B
Andrea Papetti,23,Italy,Reggiana,2025,2025,8,Serie B
Gianluca Busio,23,United States,Venezia,2022,2025,73,Serie B
Massimo Zilli,23,Italy,Frosinone,2025,2025,8,Serie B
Filip Stanković,23,Serbia,Venezia,2025,2025,8,Serie B
Michele Besaggio,23,Italy,Avellino,2025,2025,8,Serie B
Riccardo Ciervo,23,Italy,Cesena,2025,2025,8,Serie B
Alessandro Sersanti,23,Italy,Modena,2025,2025,8,Serie B
